Dias da Semana,Quantidade,Periodo
segunda,2667,Plena Noite
segunda,423,Amanhecer
segunda,4957,Pleno dia
segunda,471,Anoitecer
terça,2341,Plena Noite
terça,336,Amanhecer
terça,4624,Pleno dia
terça,476,Anoitecer
quarta,2521,Plena Noite
quarta,361,Amanhecer
quarta,4785,Pleno dia
quarta,485,Anoitecer
quinta,2676,Plena Noite
quinta,365,Amanhecer
quinta,4747,Pleno dia
quinta,453,Anoitecer
sexta,3526,Plena Noite
sexta,423,Amanhecer
sexta,5257,Pleno dia
sexta,557,Anoitecer
sábado,4424,Plena Noite
sábado,508,Amanhecer
sábado,5262,Pleno dia
sábado,469,Anoitecer
domingo,4564,Plena Noite
domingo,500,Amanhecer
domingo,4753,Pleno dia
domingo,599,Anoitecer
